Code,UNRegion,IncomeGroup,Region,Continent
MEX,Latin America & Caribbean,Upper middle income,,
MHL,East Asia & Pacific,Upper middle income,,
MIC,,,,
MKD,Europe & Central Asia,Upper middle income,,
MLI,Sub-Saharan Africa,Low income,West Africa,Africa
MLT,Middle East & North Africa,High income,Western Europe,
MMR,East Asia & Pacific,Lower middle income,,
MNA,,,,
MNE,Europe & Central Asia,Upper middle income,,
MNG,East Asia & Pacific,Lower middle income,,
MNP,East Asia & Pacific,High income,,
MOZ,Sub-Saharan Africa,Low income,Southern Africa,Africa
MRT,Sub-Saharan Africa,Lower middle income,North Africa,Africa
MUS,Sub-Saharan Africa,Upper middle income,Southern Africa,Africa
MWI,Sub-Saharan Africa,Low income,Southern Africa,Africa
MYS,East Asia & Pacific,Upper middle income,,
NAC,,,,
NAM,Sub-Saharan Africa,Upper middle income,Southern Africa,Africa
NCL,East Asia & Pacific,High income,,
NER,Sub-Saharan Africa,Low income,West Africa,Africa
NGA,Sub-Saharan Africa,Lower middle income,West Africa,Africa
NIC,Latin America & Caribbean,Lower middle income,,
NLD,Europe & Central Asia,High income,,
NOR,Europe & Central Asia,High income,,
NPL,South Asia,Lower middle income,,
NRU,East Asia & Pacific,High income,,
NZL,East Asia & Pacific,High income,,
OED,,,,
OMN,Middle East & North Africa,High income,Middle East,Asia
OSS,,,,
PAK,South Asia,Lower middle income,,
PAN,Latin America & Caribbean,High income,,
PER,Latin America & Caribbean,Upper middle income,,
PHL,East Asia & Pacific,Lower middle income,,
PLW,East Asia & Pacific,Upper middle income,,
PNG,East Asia & Pacific,Lower middle income,,
POL,Europe & Central Asia,High income,,
PRE,,,,
PRI,Latin America & Caribbean,High income,,
PRK,East Asia & Pacific,Low income,,
PRT,Europe & Central Asia,High income,,
PRY,Latin America & Caribbean,Upper middle income,,
PSE,Middle East & North Africa,Upper middle income,Middle East,Asia
PSS,,,,
PST,,,,
PYF,East Asia & Pacific,High income,,
QAT,Middle East & North Africa,High income,Middle East,Asia
ROU,Europe & Central Asia,High income,,
RUS,Europe & Central Asia,Upper middle income,,
RWA,Sub-Saharan Africa,Low income,Eastern Africa,Africa
SAS,,,,
SAU,Middle East & North Africa,High income,Middle East,Asia
SDN,Sub-Saharan Africa,Low income,North Africa,Africa
SEN,Sub-Saharan Africa,Lower middle income,West Africa,Africa
SGP,East Asia & Pacific,High income,,
SLB,East Asia & Pacific,Lower middle income,,
SLE,Sub-Saharan Africa,Low income,West Africa,Africa
SLV,Latin America & Caribbean,Upper middle income,,
SMR,Europe & Central Asia,High income,,
SOM,Sub-Saharan Africa,Low income,Eastern Africa,Africa
SRB,Europe & Central Asia,Upper middle income,,
SSA,,,,
SSD,Sub-Saharan Africa,Low income,Eastern Africa,Africa
SSF,,,,
SST,,,,
STP,Sub-Saharan Africa,Lower middle income,Central Africa,Africa
SUR,Latin America & Caribbean,Upper middle income,,
SVK,Europe & Central Asia,High income,,
SVN,Europe & Central Asia,High income,,
SWE,Europe & Central Asia,High income,,
SWZ,Sub-Saharan Africa,Lower middle income,Southern Africa,Africa
SXM,Latin America & Caribbean,High income,,
SYC,Sub-Saharan Africa,High income,Eastern Africa,Africa
SYR,Middle East & North Africa,Low income,Middle East,Asia
TCA,Latin America & Caribbean,High income,,
TCD,Sub-Saharan Africa,Low income,Central Africa,Africa
TEA,,,,
TEC,,,,
TGO,Sub-Saharan Africa,Low income,West Africa,Africa
THA,East Asia & Pacific,Upper middle income,,
TJK,Europe & Central Asia,Lower middle income,,
TKM,Europe & Central Asia,Upper middle income,,
TLA,,,,
TLS,East Asia & Pacific,Lower middle income,,
TMN,,,,
TON,East Asia & Pacific,Upper middle income,,
TSA,,,,
TSS,,,,
TTO,Latin America & Caribbean,High income,,
TUN,Middle East & North Africa,Lower middle income,North Africa,Africa
TUR,Europe & Central Asia,Upper middle income,,
TUV,East Asia & Pacific,Upper middle income,,
TZA,Sub-Saharan Africa,Lower middle income,Eastern Africa,Africa
UGA,Sub-Saharan Africa,Low income,Eastern Africa,Africa
UKR,Europe & Central Asia,Lower middle income,,
UMC,,,,
URY,Latin America & Caribbean,High income,,
USA,North America,High income,,
UZB,Europe & Central Asia,Lower middle income,,
VCT,Latin America & Caribbean,Upper middle income,,
VEN,Latin America & Caribbean,,,
VGB,Latin America & Caribbean,High income,,
VIR,Latin America & Caribbean,High income,,
VNM,East Asia & Pacific,Lower middle income,,
VUT,East Asia & Pacific,Lower middle income,,
WLD,,,,
WSM,East Asia & Pacific,Lower middle income,,
XKX,Europe & Central Asia,Upper middle income,,
YEM,Middle East & North Africa,Low income,Middle East,Asia
ZAF,Sub-Saharan Africa,Upper middle income,Southern Africa,Africa
ZMB,Sub-Saharan Africa,Lower middle income,Southern Africa,Africa
ZWE,Sub-Saharan Africa,Lower middle income,Southern Africa,Africa
